sent-length,reg-deriv-size,mwe-deriv-size,chart-nodes-1,chart-arcs-1,agenda-nodes-1,agenda-arcs-1,encodes-reg-1,encodes-mwe-1,chart-nodes-2,chart-arcs-2,agenda-nodes-2,agenda-arcs-2,encodes-reg-2,encodes-mwe-2
15,15,14,265,314,2,2,1,1,271,324,0,0,1,1
4,4,3,31,27,5,5,0,1,36,34,0,0,1,1
18,18,16,377,391,9,10,0,1,444,481,0,0,1,1
7,7,6,72,68,1,1,1,1,75,72,0,0,1,1
12,12,11,300,335,2,2,0,1,304,342,0,0,1,1
11,11,10,185,188,11,11,0,1,202,214,0,0,1,1
17,16,15,386,445,27,27,1,1,428,487,0,0,1,1
13,13,12,431,559,33,33,1,1,476,638,0,0,1,1
8,8,7,74,70,0,0,1,1,75,71,0,0,1,1
8,8,7,76,72,0,0,1,1,77,73,0,0,1,1
12,12,10,232,262,9,9,0,1,296,360,0,0,1,1
9,9,8,130,133,4,4,0,1,138,147,0,0,1,1
15,15,12,325,343,30,38,0,1,545,789,0,0,1,1
13,11,10,152,149,5,5,1,1,203,207,0,0,1,1
22,21,20,703,853,14,14,1,1,717,867,0,0,1,1
13,13,12,576,724,41,64,0,0,667,870,0,0,1,1
15,15,14,418,480,6,6,1,1,427,489,0,0,1,1
17,17,16,470,551,24,24,0,1,496,587,0,0,1,1
16,16,14,364,441,5,5,1,1,375,462,0,0,1,1
11,11,10,202,199,25,25,1,1,304,325,0,0,1,1
7,7,6,56,51,6,6,0,1,66,64,0,0,1,1
6,5,4,50,44,6,6,0,1,87,86,0,0,1,1
10,10,8,158,166,5,5,0,1,202,220,0,0,1,1
16,16,15,336,401,9,9,1,1,365,442,0,0,1,1
7,7,6,101,101,3,3,0,1,104,106,0,0,1,1
10,10,8,181,181,1,1,0,1,198,217,0,0,1,1
7,6,4,39,32,0,0,0,1,44,38,0,0,1,1
8,8,7,63,55,7,7,0,0,96,93,0,0,1,1
8,7,6,76,75,0,0,1,1,77,76,0,0,1,1
10,8,7,175,177,11,12,1,1,194,203,0,0,1,1
10,10,9,144,146,0,0,1,1,144,146,0,0,1,1
6,6,5,90,92,2,2,0,1,94,98,0,0,1,1
10,10,9,225,233,6,6,0,1,269,288,0,0,1,1
17,17,16,1414,2767,22,25,0,1,1508,3105,0,0,1,1
15,14,13,238,262,8,8,1,1,247,271,0,0,1,1
16,16,13,228,241,3,3,0,1,256,279,0,0,1,1
9,9,8,144,144,4,4,1,1,153,157,0,0,1,1
13,13,11,185,184,7,7,0,1,240,255,0,0,1,1
13,13,10,276,363,7,7,0,1,461,596,0,0,1,1
11,11,10,123,118,0,0,1,1,124,119,0,0,1,1
6,6,5,72,71,1,1,0,1,75,75,0,0,1,1
14,14,10,256,306,11,11,0,1,468,657,0,0,1,1
8,8,7,68,66,3,4,0,1,71,72,0,0,1,1
6,6,5,66,64,0,0,1,1,67,65,0,0,1,1
17,16,15,316,335,18,20,1,1,344,369,0,0,1,1
18,18,16,422,482,26,26,0,1,508,590,0,0,1,1
21,18,17,624,793,23,23,1,1,668,849,0,0,1,1
11,11,10,151,155,0,0,0,1,152,159,0,0,1,1
10,9,8,114,105,0,0,1,1,115,106,0,0,1,1
8,6,5,139,163,27,27,0,1,173,206,0,0,1,1
12,12,11,187,196,1,1,1,1,190,200,0,0,1,1
12,12,8,164,168,7,7,0,1,235,262,0,0,1,1
21,21,19,791,1032,3,3,1,1,794,1035,0,0,1,1
16,15,14,661,988,7,7,0,1,672,1017,0,0,1,1
11,10,9,147,146,3,3,1,1,183,184,0,0,1,1
5,5,4,42,39,2,2,0,1,59,61,0,0,1,1
6,6,5,58,57,7,7,0,1,91,98,0,0,1,1
11,10,9,175,175,34,34,0,1,247,270,0,0,1,1
19,18,17,459,517,1,1,1,1,462,521,0,0,1,1
18,18,16,352,379,11,11,0,1,440,536,0,0,1,1
12,11,10,208,224,3,3,0,1,228,261,0,0,1,1
